name,distance,mass,radius,gravity
Sun,0.000015813,3.9561209999999995e+60,4.8399849e+17,1126438243586860.0
Sirius,8.6,8.307854099999999e+60,8.276374179e+17,808973807849391.6
Canopus,310,5.9341815e+61,3.436389279e+19,3351829726999.186
Alpha Centauri,4.4,4.3517330999999996e+60,5.80798188e+17,860473658295518.0
Arcturus,37,4.3517330999999996e+60,1.258396074e+19,1832961638972.701
Vega,25,8.703466199999999e+60,1.3067959230000003e+18,339940210684648.94
Capella,43,1.02859146e+61,5.80798188e+18,20338468286984.973
Rigel,860,9.099078299999999e+61,3.818748086100001e+19,4161800100317.5425
Procyon,11.4,5.9341815e+60,9.19597131e+17,468049131684290.9
Betelgeuse,640,7.912241999999999e+61,4.597985655e+20,24962620356.49551
Achernar,144,2.65060107e+61,4.5011859570000005e+18,87260217736524.0
Hadar,390,4.1539270499999994e+61,4.162387014e+18,159918896128475.25
Altair,17,7.1210178e+60,8.71197282e+17,625799024214922.2
Acrux,320,7.121017799999999e+61,4.307586561e+18,255976371475362.7
Aldebaran,65,5.9341815e+60,2.129593356e+19,872756903605.5216
Antares,600,4.7473452e+61,3.291189732e+20,29232826390.66245
Spica,260,4.521846302999999e+61,3.6154687203e+18,230734434824488.66
Pollux,34,7.516629899999999e+60,4.2591867120000005e+18,27637301947508.176
Fomalhaut,25,7.516629899999999e+60,8.71197282e+17,660565636671306.8
Mimosa,350,6.329793599999999e+61,4.065587316e+18,255428173148947.84
Regulus,77,1.5033259799999998e+61,1.500395319e+18,445417827849122.5
Adhara,430,4.94515125e+61,6.77597886e+18,71839173698141.58
Shaula,700,5.73637545e+61,4.2591867120000005e+18,210916251704667.7
Castor,52,1.1077138799999998e+61,1.161596376e+18,547574146188056.8
Gacrux,88,5.9341815e+60,4.065587316e+19,239463912327.1386
Bellatrix,240,3.402264059999999e+61,2.807191242e+18,287971726957401.75
Elnath,130,1.9780604999999998e+61,2.032793658e+18,319285216436184.8
Miaplacidus,110,1.38464235e+61,3.291189732e+18,85262410306098.86
Alnair,101,1.5824483999999998e+61,1.645594866e+18,389771018542166.06
Alnitak,1050,1.30551993e+62,9.6799698e+18,92931155095915.95
Dubhe,120,1.6813514249999997e+61,1.45199547e+19,5319291705826.838
Mirfak,590,3.3627028499999994e+61,3.291189732e+19,2070658536005.257
Kaus Australis,140,1.38464235e+61,3.291189732e+18,85262410306098.86
Alkaid,104,2.4132338099999996e+61,1.645594866e+18,594400803276803.2
Menkalinan,81,9.45512919e+60,1.3406758173e+18,350869606299130.1
Atria,390,2.7692847e+61,4.452786108e+19,931600626784.974
Alhena,109,1.1077138799999998e+61,1.597195017e+18,289625994677980.5
Peacock,180,2.33411139e+61,2.323192752e+18,288454237724065.75
Alsephina,80,9.494690399999999e+60,1.403595621e+18,321456811487332.25
Mirzam,500,5.34076335e+61,4.8399849e+18,152069162884226.1
Polaris,430,2.13630534e+61,1.887594111e+19,3999189030485.8936
Alphard,180,1.1868363e+61,2.41999245e+19,1351725892304.2322
Mintaka,1200,9.4946904e+61,7.985975085e+18,99300341032450.48
Scheat,196,8.307854099999999e+60,4.597985655e+19,262107513743.20285
Almaaz,653,5.9341815e+61,6.77597886e+19,862070084377.6989
Rasalgethi,360,1.1077138799999998e+61,1.355195772e+20,40229937270.959274
Tau Ceti,11.9,3.097642743e+60,4.3221065157e+17,1106028278583973.9
Delta Pavonis,19.92,3.920515910999999e+60,5.904781578e+17,750000201151960.5
Ran,10.48,3.2440192199999994e+60,3.581588826e+17,1686777501353588.8
Lacaille 8760,12.87,1.1933999999999999e+30,354807000.0,632.306299380494
SDSS J141659.78+500626.4,149.0,1.12021856388e+29,70777296.90899992,1491.5597480465447
CFBDSIR 1458+10,104.0,2.10752984052e+28,107238328.64999999,122.23610222652063
CFBDSIR 1458+10,104.0,1.7088079788e+28,92939884.82999994,131.95165361090918
2MASSW J1506544+132106,46.0,1.3100861170799998e+29,72922063.482,1643.2656593156585
2MASS 1507âˆ’1627,23.9,1.1392053192e+29,70777296.90899992,1516.8404217422485
2MASSW J1515008+484742,34.0,1.08224505324e+29,70777296.90899992,1440.9984006551363
2MASSI J1526140+204341,67.0,1.02528478728e+29,70062374.71799994,1393.1588584075591
DENIS-P J153941.96-052042.4,51.0,1.19616558516e+29,71492219.1,1560.9880622170535
2MASS J15462718-3325111,37.0,8.3541723408e+28,67202685.95399994,1233.8319202388227
2MASSW J1552591+294849,68.0,5.696026596e+28,102233873.31299993,363.5031779914853
2MASSW J1555157-095605,44.0,1.3480596277199998e+29,73636985.673,1658.2229885289191
2MASS J16150413+1340079,48.0,7.974437234399999e+28,67202685.95399994,1177.7486511370575
2MASS J16262034+3925190,110.0,1.3480596277199998e+29,73636985.673,1658.2229885289191
2MASSW J1632291+190441,50.0,9.3035101068e+28,69347452.52699994,1290.3622342106723
LSPM J1658+7027,60.0,1.3860331383599998e+29,74351907.864,1672.3039433327008
LSR J1835+3259,18.5,1.46198015964e+29,76496674.437,1666.4113007819785
2MASS J22282889-4310262,35.0,7.974437234399999e+28,67202685.95399994,1177.7486511370575
WISE 0410+1502,20.0,1.1392053191999999e+28,83645896.34699993,108.60218404190057
WISE 0458+6434,35.9,2.848013298e+28,300267320.22,21.069377796904398
WISE 0458+6434,35.9,1.898675532e+28,271670432.5799999,17.15899466008282
WISE 1405+5534,25.3,5.696026596e+28,61483308.426,1005.0400874456292
